,제목,개봉년도,요약,줄거리
437,스마일 페이스 킬러,2021,,
438,스매시 앤 그랩: 보석강도단 핑크 팬더,2021,"“섹스, 마약, 살인을 하는 조직과 우린 달라”인터폴도 인정한 사상 최고의 국제 보석강도단 ‘핑크 팬더’",핑크 팬더는 2000년대 전 세계 최고급 보석상만 골라지금까지 수천억 원에 달하는 보석을 털어왔으며범행에 걸린 시간은 평균 1분도 채 안 된다.전형적인 범죄 조직과 차별화된 그들을 추적하던 감독이수배 중인 실제 조직원들과 은밀한 만남을 갖게 되면서발칸 반도에서 ‘로빈 후드’로 불리는 핑크 팬더의 정체와국제 다이아몬드 거래의 어둡고 위험한 세계가 드러난다.
439,스카이파이어,2021,잠들어있던 화산이 깨어나기 시작했다!,"꿈의 낙원이자 잠들어 있는 화산섬 티안후오.‘해리스’는 그곳의 이상 기운을 감지한 젊은 지질학자 ‘쟈오멩’의 경고를 무시한 채,세계 유일의 화산 테마파크를 개방한다.한편 과거 화산 폭발로 부인을 잃은 ‘타오’ 역시 티안후오 섬의 불안정함을 느끼고딸 ‘쟈오멩’을 구하기 위해 나서는데…불바다가 된 꿈의 낙원에서 탈출하라!"
440,스쿨 아웃 포에버,2021,,
441,스쿨 오브 락(樂),2021,뛰는 ‘문제아’ 위에 나는 ‘교장’ 있다!,"꿈도, 배우고자 하는 열의도 없던 학생들이 모인그곳에 날라리 교장선생님이 부임했다!이상한 탈을 쓰고 등교하는 건 기본이요,점심시간마다 학교를 가득 채우는 버스킹에발 디딜 틈 없이 북적거리는 교장실까지!“공부를 포기했다고 인생도 포기한 건 아니야!”아무도 귀 기울이지 않던 아이들의 이야기를 들어주는 선생님과그 안에서 인생의 목표를 찾아가는 아이들.어디서도 본 적 없는 날라리 교장쌤의 특별한 ‘인생수업’이 시작된다!공부보다 중요한 ‘진짜 인생’은 지금부터!오늘도 신나게 학교 다녀오겠습니다!"
442,스토커,2021,,
443,스토커,2021,,
444,스트레스 제로,2021,대한민국을 집어삼킨 스트레스 괴물을 잡아라!,"어느 날 도심 곳곳에 정체를 알 수 없는 거대한 불괴물이 나타나 대한민국은 혼란에 빠진다. 불괴물의 습격으로 졸지에 직장을 잃은 짱돌은 친구 고박사, 타조와 함께 ‘스트레스 제로’를 팔아 백수 탈출을 하고자 하지만, 이 음료가 바로 불괴물을 막을 수 있는 유일한 비밀임을 알게 되는데..! 갑자기 히어로가 된 아빠 짱돌과 친구들은 과연 불괴물을 잡고, 세상을 구할 수 있을까?"
445,스티브 맥퀸: 더 맨 앤 르망,2021,,
446,스틸워터,2021,"진실을 파고들수록, 비밀은 깊어진다",친구를 살해한 혐의로 감옥에 갇힌 딸의 무죄를 입증할 마지막 기회를 위해 나서는 아빠 '빌' 사건의 실체에 가까워질수록 예기치 못한 사실을 알게 되는데…
447,스파이 워,2021,,
448,스파이 캣,2021,비상-! 평화롭던 ‘드래빌’ 마을에 연쇄 도난사건 발생했다!? 이제는 우리가 나설 차례!,"지상 최고 스파이를 꿈꾸는 집냥이 ‘마니’는드래빌 마을에서 벌어진 연쇄 도난사건 해결을 위해쫄보 멍뭉이 ‘엘비스‘, 서커스돌 동키 ‘안톤’, 엉뚱한 흥부자 꼬꼬 ‘에디’와 함께 특급 비밀 작전을 시작한다. 그러나 결정적인 단서를 발견한 순간, 범인으로 몰리며 인생 최대의 위기를 맞이하는데… 과연 이들은 사건을 해결하고 스파이 어벤져스가 될 수 있을까?"
449,스파이: 타임 투 저스티스,2021,,
450,스파이더맨: 노 웨이 홈,2021,,
451,스파이럴,2021,,
452,스파이의 아내,2021,"태평양 전쟁 직전, 그들의 운명은 영원히 바뀌었다.","아시아에 전운이 감돌던 1940년, 무역상 유사쿠는 사업차 만주국으로 향한다. 이곳에서 벌어지는 갖가지 참상을 목격한 유사쿠는 현실을 바꾸기 위해 직접 나서고, 유사쿠의 이러한 위험한 행동은 일본에 살고 있는 아내 사토코의 일상에도 영향을 미친다. NHK TV 드라마를 영화로 다시 만든 작품으로 2020년 베니스영화제에서 감독상을 수상했다."
453,스페셜 포스 전랑,2021,,
454,스페이스 독 3: 트로피컬 어드벤처,2021,"미션, 위기에 빠진 바다를 지켜라!  물을 뺏기 위한 우주 최강 히어로들의 바다 속 한판승부가 펼쳐진다!","카리브해에 발생한 정체불명의 바다 소용돌이 조사를 위해 지구로 출동한 세계 최초 우주 탐사견 ‘머피’와 ‘마크’. 그러나 바다 해파리 해적단의 음모로 꼼짝없이 붙잡히고, 그들의 오랜 친구 ‘레니’가 친구들을 구하기 위해 바다로 떠난다.  마침내 아름다운 카리브 해안에서 모두 만나게 된 친구들! 하지만 위험한 바다 소용돌이에 휩쓸려 도착한 낯선 그 곳에서 외계인들을 만나며 지구에 숨겨진 놀라운 비밀을 알게 되는데…  위험에 처한 바다를 구하고 무사히 우주로 돌아갈 수 있을까?"
455,스페이스 시그널,2021,,
456,스페이스 잼: 새로운 시대,2021,"규칙이 바뀌면, 완전 신나는 경기 시작! 새로운 시대, 새로운 공간, 여기선 무엇이든 할 수 있어!!","농구를 하기 싫다며 투정하는 아들이 갑자기 사라지고, 매트릭스 같은 공간으로 빨려 들어간 아빠 킹 제임스 앞에 나타난 도메인의 왕은 아들을 만나려면 자신과의 농구 경기에서 이겨야 한다는 것! 워너 3000 엔터테인먼트 서버버스의 ‘툰 월드’에 떨어진 킹 제임스는 아들을 되찾기 위해 루니 툰 캐릭터들과 드림팀을 결성, 군 스쿼드와 시합을 펼치는데… 놀랄 준비 완료? 지금부터 게임의 룰이 바뀐다, 레디 플레이어 원!"
457,스푸트닉,2021,우주로 떠난 그들이 돌아왔다!,"1983년. 우주궤도를 돌던 오르비타-4호가 원인불명의 사고로 지구에 불시착한다. 국가는 사고의 원인을 규명하기 위해 유일한 생존자인 우주비행사를 조사한다.  이상하리만큼 빠른 회복속도와 안정세, 모든 것이 의심스러운 가운데 보다 정밀한 조사를 위해 뇌전문의 클리모바가 연구소로 향하고 알 수 없는 새로운 현상들을 발견하게 되는데…  유일한 생존자, 그리고 함께 귀환한 그것 예상치 못한 최악의 시나리오 전쟁이 시작된다!"
458,스프링 송,2021,“우린 그냥 봄의 노래를 만드는 거야”,"겨울이 끝나길 기다리던 어느 날,‘준상’은 새로운 곡을 준비하던 밴드 멤버 ‘준화’에게뮤직비디오 제작을 제안한다.언젠가 우연히 본 영화를 떠올리며촬영지부터 콘티, 대사까지 즉흥적으로 정하게 된 ‘준상’.일본 배우 ‘아키노리’와 한국 배우 ‘소진’, 그리고 ‘순원’까지준상의 갑작스러운 계획 하나로 한곳에 모이게 된다.온전히 마음이 움직이는 대로 함께하게 된 네 남녀,과연 우리는 이 노래의 끝에서 봄을 만날 수 있을까?"
459,스피릿,2021,"마음껏 달려봐, 우리의 특별한 우정과 모험을 향해!","어릴 적 엄마를 잃고 ‘코라’ 고모와 할아버지 손에 자란 호기심 많은 소녀 ‘럭키’는 방학동안 ‘코라’ 고모와 함께 아빠가 홀로 살고 있는 미라데로에 머물게 된다.  오랜만에 만난 아빠와의 서먹한 관계에서 어려움을 느끼던 ‘럭키’는 우연히 에너지 넘치는 야생마 ‘스피릿’을 만나 특별한 교감을 나누게 되고, 새로 사귄 친구 ‘아비게일’, ‘프루’와 함께하며 두근거림과 자유로움을 경험한다.  어느 날, ‘스피릿’과 그의 야생마 가족이 악당들에 의해 위험에 처하게 되고 ‘럭키’는 이들을 구하기 위해 친구들과 두려움을 무릅쓴 모험에 나서는데…"
460,습도 다소 높음,2021,,
461,승부,2021,,
462,시 읽는 시간,2021,"당신에게 전하는 따뜻한 위로,온전히 나를 마주하는 시간을 만나다","서울에 사는 다섯 명의 사람들, 그들은 처음으로 자신의 불안에 관해서 이야기한다. 카메라 앞에서 들려주는 그들의 목소리는 마치 시를 읽는 것 같다. 고단한 직장생활에 대해 약을 먹으며 버텨야 할지를 고민하는 30대 여성, 선택을 생각할 틈도 없이 기계처럼 일했지만 해고자 신세가 된 노동자, 20년 넘게 안정된 직장을 다니지만 알 수 없는 죄의식으로 공황 장애를 앓은 50대 남자, 불안한 현실보다는 게임 속 세상에서 안정을 찾는 남자, 자신이 겪은 혐오와 차별을 모든 약자의 고통과 동일시하는 여성까지.이들은 각자 다른 처지이지만 불확실과 비참한 현실 앞에 선 자기 자신을 바라본다."
463,시간여행: 과거에 갇힌 남자,2021,당신의 결정이 미래를 바꾼다!,"가까운 미래, 과학자 '노만'은 인공지능 ‘애니’와 함께 과거를 바꾸기 위해 시간 여행을 시도한다. 하지만 예상치 못한 문제가 발생하면서 그는 다른 과거의 시점에 갇히게 되고, '노만'은 그곳에서 타임머신을 고치기 위해 고군분투한다. 혹여나 다른 사람들의 운명을 바꿀까봐 혼자서 고립된 생활을 하던 '노만'은 점점 희망을 잃어가던 가운데 우연히 '제니'라는 여성을 마주치게 되는데... 과연 그는 그토록 염원하던 집으로 돌아갈 수 있을까?"
464,시간의 끝에서 널 기다려,2021,“우리 만난 적 있나요?”,"어린 시절 린거(리홍기)의 유일한 친구는 치우첸(이일동)이었다. 치우첸의 전학으로 헤어진 두 사람은 고등학교에서 재회하고 서로에게 호감을 느끼게 된다.   린거의 생일을 함께 보낸 그 날, 마음을 고백하려던 순간 교통사고로 치우첸을 잃고 만다. 절망에 빠진 린거는 그녀를 살려달라며 애원하고 기적처럼 시간을 되돌려 치우첸을 구한다. 하지만 손목시계의 신비한 힘을 빌린 대가로 존재하지 않는 사람이 된 린거는 모두의 기억에서 지워지는데…  어긋나버린 시간의 끝에서 두 사람은 다시 만날 수 있을까?"
465,시그널 X: 영혼의 구역,2021,,
466,시카다 3301,2021,,
467,"식물카페, 온정",2021,“당신은 어떤 씨앗을 품고 있나요?”,종군 사진기자로 일했던 주인공 ‘현재’는파키스탄 전쟁 당시의 트라우마로 더 이상 사진을 찍을 수 없게 된다.퇴사 후 다시 찾은 할아버지의 수목원에서어린 시절 느꼈던 식물과의 특별한 교감을 떠올린다.식물로부터 살아갈 용기를 얻은 ‘현재’는도심 속 을 운영하게 된다.본인의 반려식물과 함께 저마다의 사연을 가지고카페를 찾은 손님들에게 ‘현재’는 병든 식물은 물론병든 마음에 필요한 그만의 식물 처방전을 건넨다.
468,신 강시선생,2021,저주받은 강시들에 얽힌 비밀을 밝혀라!,배고픈 귀신들을 위한 귀신절에 갑자기 출몰한 강시들로 마을은 위기에 빠지게 된다.  혼비백산이 된 마을을 구하기 위해 사투를 벌이는 퇴사마 ‘하오’는 이 사태에 무시무시한 음모가 숨겨져 있다는 것을 밝혀내는데…  역대급 퇴마 호러액션이 온다!
469,신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 전편,2021,,
470,신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 후편,2021,,
471,신조무림,2021,,
472,신해석 삼국지,2021,타올라라 적벽! 터져라 대폭소! 대환장 코믹 버라이어티 NEW 삼국지 탄생!,"1800년 전, 위.촉.오 세 나라가 패권을 다투는 격동의 시기. 짜증도, 투덜도 잘 내는 똥꼬발랄 촉나라 ‘유비’는 어쩔 수 없는(?) 세력 확장을 위해 팔랑귀 예스맨 ‘손권’과 함께 손을 잡는다. 촉.오나라 연합군 3만 vs 프로 음주가무러 ‘조조’가 이끄는 위나라 80만. 바로, 그 전설의 적벽대전이 시작된다!  감당불가 상상력  X 저세상 배꼽텐션 혼을 쏙~ 빼 는 무근본 웃음 전쟁 개전!"
473,실: 인연의 시작,2021,“내가 너를 지켜줄게”,열두 살에 만난 첫사랑 ‘렌’과 ‘아오이’. 한눈에 서로의 상처를 알아보고 보듬어주며 두 사람의 인연이 시작된다. 함께 있어 즐거웠던 시간도 잠시 ‘아오이’ 가족이 쫓기듯 떠나면서 헤어지고 만다.  “운명의 실’이 있다고 생각해” ‘아오이’가 준 소원팔찌를 8년 동안 간직한 ‘렌’. 어느 날 소원팔찌가 끊어지고 두 사람은 운명처럼 재회한다. 그 후 우연한 만남과 헤어짐이 반복되지만 그때마다 서로의 곁에 이미 다른 사람이 있어 엇갈리는데…
474,실랏 : 옹박의 후예,2021,,
475,실종: 사라진 사람들,2021,,
476,실크 로드,2021,지금 당장 마약을 흔적 없이 살 수 있다면? 역대급 재능낭비 충격 실화!,"개인이 마약을 하든 뭘 하든 국가의 통제는 억압이라 생각하는  상위 1% 비합법적 천재 ‘로스’.  뛰어난 두뇌와 치밀한 계획으로 비트코인을 이용해 흔적 없이  마약 쿨거래가 가능한 다크 웹사이트 ‘실크로드’를 만든다.  ‘실크로드’로 돈맛을 알고 세상을 향한 X를 날렸다고 생각한 바로 그 순간, 정체불명 누군가가 말을 걸어오는데…"
477,십개월의 미래,2021,"“나는 세상을 바꿀 프로그램 개발자, 29살 ‘최미래’  그런데 어느 날 이름 앞에 몇 글자가 더 붙었다. ‘최 악의 미래’로…”","만성 숙취를 의심하던 미래는 자신이 임신 10주라는 사실을 알고 당황한다. 아무 예고 없이 찾아온 변수 앞에서 갈팡질팡하는 사이, 가족과 연인, 국가는 각기 다른 방향을 제시하고 미래의 십개월은 빠른 속도로 흘러간다."
478,십계,2021,"하나님의 음성을 듣는 자, 약속의 땅을 향한 위대한 여정이 시작된다!","“나는 아브라함의 하나님, 이삭의 하나님, 야곱의 하나님이다”이스라엘 백성의 번성을 두려워한 바로는 이스라엘 아기를 죽이라 명한다.이스라엘 백성의 울음과 절규가 가득한 와중애굽의 공주는 갈대 상자에 누인 '모세'를 아들로 키우게 되는데...어느 날, 광야의 가시덤불에서 이스라엘 백성을 약속의 땅으로 인도하라는하나님의 음성을 들은 모세는 애굽으로 돌아가기로 결심하는데...고난의 길 가운데서도 하나님의 약속을 굳게 믿으며 떠나는 출애굽의 여정!이제, 하나님을 신뢰하며 약속의 땅으로!"
479,싱크로닉,2021,,
480,싱크홀,2021,사.상.초.유! 도심 속 초대형 재난 발생!,"서울 입성과 함께 내 집 마련의 꿈을 이룬 가장 ‘동원(김성균)’  이사 첫날부터 프로 참견러 ‘만수’(차승원)와 사사건건 부딪힌다.   ‘동원’은 자가취득을 기념하며 직장 동료들을 집들이에 초대하지만 행복한 단꿈도 잠시, 순식간에 빌라 전체가 땅 속으로 떨어지고 만다.   마주치기만 하면 투닥거리는 빌라 주민 ‘만수’와 ‘동원’ ‘동원’의 집들이에 왔던 ‘김대리’(이광수)와 인턴사원 ‘은주’(김혜준)까지! 지하 500m 싱크홀 속으로 떨어진 이들은 과연 무사히 빠져나갈 수 있을까?  “한 500m 정도는 떨어진 것 같아” “우리… 나갈 수 있을까요?”"
481,싸반,2021,“약속했잖아. 영원히 함께하기로”,"1997년 방콕, 15살 절친 ‘보움’과 ‘이브’는IMF로 건설이 중단된 부모님의 사톤 타워에서 함께 극단적인 선택을 약속하지만두려움에 사로잡힌 ‘보움’은 홀로 살아남아 도망친다.20년 후, 건물 완공을 위해 사톤 타워에 방문한 ‘보움’과 딸 ‘벨’.그곳에서 주인을 알 수 없는 낡은 삐삐를 발견한 ‘벨’은 이후 무언가에 홀린 듯 기이한 행동을 보이고,‘보움’은 딸에게서 죽은 ‘이브’의 흔적을 느끼며 점점 공포에 휩싸이는데…"
482,써니,2021,대한민국을 사로잡은 국민영화 의 리메이크작 ‘당신에게도 추억이 있나요?’ ,"아무로 나미에가 여고생의 우상이었던 1990년대! 지방에서 전학 온 ‘나미’를 유일하게 챙겨주던 ‘써니’의 멤버들. 성인이 된 ‘나미’는 우연히 병원에서 ‘써니’의 리더였던 ‘세리카’와 재회하게 되고, 불치병으로 딱 한 달의 시간만이 남아있다는 걸 알게 된다. 그런 그녀의 마지막 소원은 바로 ‘써니’의 멤버들을 만나고 싶다는 것! ‘세리카’의 소원을 위해 멈춰있던 시간이 움직이기 시작한다."
483,썰,2021,“내 얘기 들어볼래?”,"일주일에 무려 200만원, 핵이득 꿀알바 VVIP 돌봄 서비스를시작하게 된 공시생 ‘정석’(강찬희)이 인적 드문 산골에 위치한 저택을 찾는다.역대급 말빨을 장착한 선임 알바생 ‘이빨’(김강현)은 만나자마자 쉴 새 없이 썰을 늘어놓고,그 와중에 일명 전설의 10초녀 ‘세나’(김소라)가 눈앞에 등장한다.믿기 힘든 썰의 스케일은 걷잡을 수 없이 커져만 가는데…단단히 도른자들의 B급 전쟁이 시작된다!"
484,아-하: 테이크 온 미,2021,전세계가 사랑에 빠진 센세이션 아이콘 콜드플레이·U2·위켄드 스타들의 스타,"메가 히트송 ‘Take On Me’의 주인공 레전드 밴드 a-ha의 탄생과 성공 그리고 음악으로 연대하는 이들의 무대 위, 무대 밖의 진짜 이야기   전율의 이름 a-ha의 스크린 콘서트가 시작된다!"
485,아네트,2021,,
486,아담,2021,"나는 너의, 너는 나의 삶을 바꾼다","혼전 임신 사실을 숨겨야만 해서 고향은 떠난 여인 ‘사미아’는 일자리와 숙박시설을 찾아 카사블랑카를 정처 없이 떠돌다가, 남편과 사별 후 홀로 8살 딸 ‘와르다’를 키우며 빵집을 운영하는 무뚝뚝한 여인 ‘아블라’를 만난다.  처음에 ‘아블라’는 ‘사미아’를 냉정히 돌려보내지만, 위험한 길가에서 밤을 지새우는 ‘사미아’가 신경 쓰여 결국 자기 집에 며칠 간 머물며 함께 빵 만들기를 허락한다. 시간이 지나면서 세 사람은 서로에 대한 마음을 점차 열며, 생애 잊지 못할 치유의 경험을 하는데…"
487,아담스 패밀리 2,2021,“평화로운 일상은 못 참지~” 호러블리 사춘기 아이들과 떠나는 위험천진난만 패밀리 어드벤처!,"평범함과는 거리가 먼 호러블리 아담스 패밀리에게 닥친 최대 위기. 아이들은 사춘기에 접어들고, 권태로운 가족 분위기에 위기를 느낀 아빠 ‘고메즈’와 엄마 ‘모티시아’는 가족들의 화합을 위해 나이아가라 폭포에서 그랜드 캐니언까지 미국을 가로지르는 가족 여행을 떠난다. 하지만, 어쩐지 태생부터 남달랐던 ‘웬즈데이’의 놀라운 비밀이 밝혀지면서 ‘웬즈데이’의 사춘기는 절정에 이르고, 아담스 패밀리의 여행은 점점 더 신나고, 점점 더 절망적인 상황으로 치닫는데…"
488,아들의 이름으로,2021,"“늦었지만 이제는 해야할 일을 하려고 합니다”  반성 없는 세상을 향해, 그의 복수가 시작된다!",1980년 5월의 광주를 잊지 못하고 괴로움 속에서 살아가던 ‘오채근’(안성기)은 소중한 아들과의 약속을 지키기 위해 반성 없이 호의호식하며 살아가는 이들에게 복수를 하기로 마음먹는다. 광주 출신의 ‘진희’(윤유선)를 만나며 더욱 결심을 굳히게 된 그는 당시의 책임자 중 한 사람이었던 ‘박기준’(박근형)에게 접근하는데…
489,아리아 : 더 크레푸스콜로,2021,,
490,아리아 : 디 아베니레,2021,,
491,아메리칸 트레이터,2021,,
492,아메리칸 히트맨,2021,,
493,아무도 없는 곳,2021,그래서 어떻게 됐어요?,"어느 이른 봄,7년 만에 서울로 돌아온 소설가 ‘창석’이우연히 만나고 헤어진여기, 길 잃은 마음의 이야기"
494,아버지의 길,2021,,
495,아수라도,2021,,
496,아야와 마녀,2021,마녀지망생 ‘아야’의 신비롭고 미스터리한 모험이 시작된다!,"‘동료 마녀 12명을 완전히 따돌리면 아이를 찾으러 오겠다’는 수수께끼 같은 편지와 함께 성 모어발트의 집에 맡겨진 아야. 10살이 된 어느 날, 아야는 갑자기 찾아온 마법사 벨라와 맨드레이크를 따라 미스터리한 저택에 발을 들이게 된다. 순간이동할 수 있는 문부터 비밀의 방까지 신비로움으로 가득 찬 그곳에서의 생활이 시작되고, 아야는 벨라를 돕는 조건으로 마법을 배우기로 한다. 하지만 마법은 알려주지 않고 잔심부름만 시키는 마녀 벨라.  벨라를 골탕 먹이기 위한 마녀지망생 아야와 말하는 고양이 토마스의 아주 특별한 주문이 시작된다!"
497,아웃브레이크,2021,"사상 초유의 바이러스 발생!숨쉬는 순간, 당신 가족의 목숨마저 앗아간다!","유례 없는 최악의 바이러스가 발생하고,팬데믹 사태로 전 세계가 혼란에 빠진다.이에, 감염병 전문의이자 보건 응급연구소 소장 ‘앤 마리’는 바이러스 감염의 사슬을 끊어내기 위해 마지막 선택을 하게 되는데…"
498,아워 미드나잇,2021,,
499,아이,2021,"홀로 버티던 세상, 서로를 만나다","누구보다 강한 생활력으로 하루하루 살아온 아동학과 졸업반의 보호종료아동 ‘아영’(김향기)돈이 필요했던 ‘아영’은 생후 6개월 된 아들 ‘혁’이를 홀로 키우는워킹맘이자 초보 엄마 ‘영채’(류현경)의 베이비시터가 된다.조금 부족하지만 어떻게든 자신의 힘으로 ‘혁’이를 키우고자 하는 ‘영채’는자신보다 더 ‘혁’이를 살뜰히 돌보는 ‘아영’의 모습에 어느새 안정을 되찾고평범한 삶을 꿈꾸기 시작한다.하지만 어느 날, ‘혁’이에게 사고가 난다.‘영채’는 모든 책임을 ‘아영’의 탓으로 돌리고,다시 ‘혁’이와 둘만 남게 된 ‘영채’는 고단한 현실에 어쩔 수 없는 선택을 하게 된다.이를 알게 된 ‘아영’은 ‘혁’이를 다시 ‘영채’의 품에 돌려놓기 위해 애를 쓰는데...상처로 가득한 세상, 우리 같이 걸을 수 있을까?"
500,아이 씨 유,2021,,
501,아이 엠 우먼,2021,“ 이 노래가 제 인생을 바꿔 놓았죠 ”,"세계 3대 여성 가수 헬렌 레디! 빌보드와 그래미를 접수한 시대의 디바이자 세대의 아이콘, 용기있게 세상의 판을 바꾼 그녀가 여자들에게 외치는 대담하고 아름다운 인생 무대가 펼쳐진다"
502,아이들은 즐겁다,2021,,
503,아이스 로드,2021,,
504,아이윌 송,2021,,
505,아이카,2021,,
506,아일로,2021,라플란드에서 온 경이로운 성장 다큐 드라마!아기 순록 아일로의 놀라운 여행!,"핀란드 북부 라플란드, 갓 태어난 아기 순록 ‘아일로’는 광활한 침엽수림과 얼음으로 둘러싸인 숲 ‘피오르’를 지나며, 여우, 흰담비, 흰올빼미, 울버린, 곰, 늑대, 청설모, 레밍, 토끼 등 때론 적이고 때론 친구가 되는 다양한 동물들과 만난다.수많은 포식자의 위협과 예측 불허 상황 속에서 엄마의 도움으로 살아남는 법을 배우며, 아일로도 어른 순록으로 성장한다."
507,아임 스틸 히어,2021,,
508,아임 유어 맨,2021,“난 당신의 행복을 위해 설계되었어요”,페르가몬 박물관의 고고학자 ‘알마’는 연구비 마련을 위해  완벽한 배우자를 대체할 휴머노이드 로봇을 테스트하는 실험에 참여하게 된다.  그렇게 오직 ‘알마’만을 위해 뛰어난 알고리즘으로 프로그래밍된   맞춤형 로맨스 파트너 ‘톰’과  3주간의 특별한 동거를 시작하게 되는데…
509,아포칼립스: 인류 최후의 날,2021,"절체절명의 위기, 기계와의 싸움은 끝나지 않았다!","종말론자들이 개발한 기계들의 공격에 도륙 당한 인류.AI 로봇들은 인간의 언어를 감지해 생존자들을 추격하고,궁지에 몰린 인류의 저항은 무위의 연속이다.목숨을 걸고 탈영한 ‘토마스’는레지스탕스의 생존자 ‘릴리아’를 만나 용기를 얻게 되고,최후의 결전을 위해 기계들의 메인 통제 센터로 향한다."
510,아홉수 로맨스,2021,“우리의 스물아홉수를 위하여!”,"아역배우 출신 ‘서연’, 승무원 ‘희주’, 펀드매니저 ‘가희’, 어린이 극단장 ‘보영’. 29살 동갑내기 10년 지기 네 친구들은 모두 순탄치 않은 연애로 골치다.고구마 썸남, 헛바람 공시생 남친, 쿨병 파트너, 철부지 연하 남친, 4인 4색 바람 잘날 없는 아홉수 연애사…스물의 아홉수, 청춘의 끝? 아니 새로운 시작! 너랑 안 만나면 좋은 일이 생길 거야!"
511,악인은 너무 많다 2: 제주 실종사건의 전말,2021,"""인간만큼 천박한 동물이 있을까요?""","10년 전, 정적 '잠수함'에게 칼을 맞고 칩거하며 폐인처럼 살던 탐정 ‘강필'에게친하게 지내던 동생 '병도'가 찾아온다.제주도의 한 건설업자가 원하는 사람을 찾아주면 꽤 큰 돈을 벌 수 있다는 제안하고재정적으로 어렵던 강필은 의뢰를 받아들여 제주도로 향한다.그런데 건설업자가 찾길 바라는 실종된 감독은 수상한 점이 한두 가지가 아니다.K3리그 '승부조작'에 관여한 정황이 보이고주니어 축구교실 학부형들을 대상으로 '성매매'까지 알선했다.게다가 조사를 진행할수록 주변 사람들의 숨겨진 '이면'이 속속들이 밝혀지는데... 강필은 이 사람을 계속 찾아도 되는 걸까? 건드리면 안 되는 '진실'에 다가가는 것은 아닐까? 이 세상에 제대로 된 '정의'란 존재하긴 하는 걸까?탐정 '강필', 또다시 얽히지 말아야 할 사건에 얽혀버렸다!"
512,알파 테스트,2021,,
513,암모나이트,2021,"“긴 시간의 끝, 그곳에 네가 있었다”","1840년대 영국 남부 해변 마을, 생계를 위해 화석을 발굴하는 고생물학자 ‘메리’는 그곳으로 요양을 위해 내려온 상류층 부인 ‘샬럿’을 만난다.  너무도 다른 삶을 살아온 두 사람은 거친 해안에서 화석을 찾으며, 그렇게 기적처럼 서로를 발견하고 걷잡을 수 없는 사랑에 빠지게 된다.  당신의 마음에 각인될 강렬한 러브 스토리가 시작된다!"
514,암살자들,2021,,
515,애프터 스톰,2021,,
516,애프터: 관계의 함정,2021,"""달콤한 질투로 시작된 세 번째 로맨스""  영국 런던에서 미국 시애틀까지, 핫스팟에서 시작된 사랑의 클라이맥스!","첫사랑, 첫키스, 첫경험, 설렘 가득했던 처음을 뒤로 하고 꿈을 위해 잠시 서로를 떠나게 된 하딘과 테사.  각자 영국 런던과 미국 시애틀에서 롱디 연애를 앞둔 두 사람은 시간과 장소를 가리지 않고 달콤한 사랑을 속삭인다.  하지만 연애와 꿈의 갈림길에 선 둘은 서로에게 감춘 '누군가'의 존재와 예상치 못한 비밀까지 알게 되면서 사랑의 클라이맥스에 치닫게 되는데…"
517,애플,2021,당신을 사로잡을 가장 특별한 여운,"원인 모를 단기 기억상실증 유행병에 걸린 ‘알리스’에게 유일하게 남은 기억은 이름도 집 주소도 아닌 한 입 베어 문 사과의 맛. 며칠이 지나도 그를 찾아오는 가족이 나타나지 않자 무연고 환자로 분류된 ‘알리스’에게 병원에서는 새로운 경험들로 기억을 만들어내는 ‘인생 배우기’ 프로그램을 제안한다. 그러던 어느 날 ‘알리스’는 자신처럼 이 프로그램에 참여하고 있는 ‘안나’를 만난다.  괜찮아요, 다들 잊고 사니까요."
518,액션 우먼 인 할리우드,2021,,
519,액션히어로,2021,,
520,앰뷸런스,2021,,
521,어 굿 맨,2021,“세상이 뭐라고 떠들지 나도 몰라!  그치만 우리 힘든 일 많이 겪었잖아?”,"조용한 섬마을에서 함께 살고 있는 ‘벤자민’과 ‘오드’는 서로를 유일하게 이해하는 6년 차 연인이다.  가정을 꾸리고 싶은 두 사람은 아이를 갖기 위해 노력하지만, ‘오드’가 임신을 할 수 없다는 사실을 알게 되고 ‘벤자민’은 그런 ‘오드’를 대신해 아이를 낳기로 결심하는데…  세상의 편견과 고정관념에 맞서는 용기 있는 사랑과 연대의 이야기"
522,어니스트 씨프,2021,"“7개의 주, 12개의 은행을 털었고 9백만불의 현금을 가지고 있다. 하지만 아무도 나를 모른다! “",희대의 폭파 전문 은행털이범 ‘톰’. 어떠한 증거도 남기지 않는 뛰어난 범행으로 8년간 FBI의 추적을 따돌린 그는 새로운 인생을 시작하기 위해 자수를 결심한다.  그러나 돈을 노리는 부패한 FBI의  음모와 가공할 위협이 그를 기다리고 있는데…
523,어른들은 몰라요,2021,,
524,어시스턴트,2021,"당신과 우리 모두의 하루 지금 당신은, 괜찮은가요?","꿈에 그리던 영화사에서 보조 직원으로 일하게 된 ‘제인’  어떤 일도 능숙하게 처리하는 그녀의 일상은 평범해 보이지만,  사소한 사무실 정리부터 상사의 개인적인 스케줄 관리까지 하루 종일 몰아치는 잡다한 업무에 지쳐간다.  그러한 일상이 반복되던 중 어느 날, 신입사원으로 채용된 한 여성이 찾아오면서 회사 내 부조리함을 마주하게 되는데…"
